n,r,m
"(:inflation {id: e108})""""","[:has_target]""""","(:_2percent_medium_term_target {id: e5016})"""""
"(:inflation {id: e108})""""","[:has_target]""""","(:_2percent_target {id: e6658})"""""
"(:inflation {id: e108})""""","[:reaches_target_ahead_of]""""","(:projection_horizon {id: e1676})"""""
"(:inflation {id: e108})""""","[:expected_change_over]""""","(:medium_term {id: e171})"""""
"(:inflation {id: e108})""""","[:behavioural_expectation_in]""""","(:all_scenarios {id: e10189})"""""
"(:inflation {id: e108})""""","[:expected_to_be_more_significant_in]""""","(:emerging_market_economies {id: e898})"""""
"(:inflation {id: e108})""""","[:expected_to_be_more_significant_in]""""","(:EMEs {id: e5330})"""""
"(:inflation {id: e108})""""","[:expected_to_be_more_significant_in]""""","(:emerging_market_economies_EMEs {id: e15623})"""""
"(:inflation {id: e108})""""","[:has_changed_in]""""","(:recent_months {id: e2641})"""""
"(:inflation {id: e108})""""","[:area]""""","(:euro_area {id: e375})"""""
"(:inflation {id: e108})""""","[:deterioration_of_accuracy_since]""""","(:third_quarter_of_2021 {id: e3666})"""""
"(:inflation {id: e108})""""","[:has_greater_effect_due_to_higher_weight_of]""""","(:commodities {id: e10647})"""""
"(:inflation {id: e108})""""","[:rate_in_April_2023]""""","(:_7_point_0percent {id: e3496})"""""
"(:inflation {id: e108})""""","[:expected_to_rise_further_on]""""","(:second_half_of_the_year {id: e9404})"""""
"(:inflation {id: e108})""""","[:reduces_real_value_of]""""","(:real_value_of_net_assets {id: e17365})"""""
"(:inflation {id: e108})""""","[:aligned_with_commitment_to]""""","(:ECBs_price_stability_mandate {id: e17418})"""""
"(:inflation {id: e108})""""","[:occur_over]""""","(:medium_term {id: e171})"""""
"(:inflation {id: e108})""""","[:increase_is]""""","(:inflation {id: e108})"""""
"(:inflation {id: e108})""""","[:greater_effect_on]""""","(:emerging_market_economies_EMEs {id: e15623})"""""
"(:inflation {id: e108})""""","[:continues_in]""""","(:OECD_economies {id: e16533})"""""
"(:inflation {id: e108})""""","[:impact_expected_to_be_more_significant_due_to]""""","(:commodities {id: e10647})"""""
"(:inflation {id: e108})""""","[:moves_towards]""""","(:Governing_Council {id: e150})"""""
"(:inflation {id: e108})""""","[:has_not_led_to_redistribution_of]""""","(:redistribution_of_nominal_wealth {id: e17364})"""""
"(:inflation {id: e108})""""","[:declining_due_to]""""","(:tighter_financing_conditions {id: e5061})"""""
"(:inflation {id: e108})""""","[:pronounced_underestimation_since]""""","(:third_quarter_of_2021 {id: e3666})"""""
"(:inflation {id: e108})""""","[:underestimation_began]""""","(:first_quarter_of_2021 {id: e1940})"""""
"(:inflation {id: e108})""""","[:intended_level]""""","(:levels_below_but_close_to_2percent {id: e17399})"""""
"(:inflation {id: e108})""""","[:works_asymmetrically_for]""""","(:wealth_distribution {id: e14128})"""""
"(:inflation {id: e108})""""","[:expected_to_decline_as]""""","(:temporary_factors {id: e8918})"""""
"(:inflation {id: e108})""""","[:increased_across]""""","(:advanced_economies {id: e5328})"""""
"(:inflation {id: e108})""""","[:downward_revision_compared_with]""""","(:March_2020_ECB_staff_macroeconomic_projections {id: e6401})"""""
"(:inflation {id: e108})""""","[:raised_questions_about]""""","(:income_distribution {id: e2440})"""""
"(:inflation {id: e108})""""","[:decline_further_towards]""""","(:target {id: e8944})"""""
"(:inflation {id: e108})""""","[:intended_target]""""","(:medium_term_target {id: e5194})"""""
"(:inflation {id: e108})""""","[:reduced_by]""""","(:declining_energy_prices {id: e21221})"""""
"(:inflation {id: e108})""""","[:reduced_by]""""","(:lower_food_price_increases {id: e21222})"""""
"(:inflation {id: e108})""""","[:decreasing]""""","(:economic_condition {id: e21245})"""""
"(:inflation {id: e108})""""","[:expected_trend_during]""""","(:second_half_of_the_year {id: e9404})"""""
"(:inflation {id: e108})""""","[:come_down_faster_with]""""","(:declining_energy_prices {id: e21221})"""""
"(:inflation {id: e108})""""","[:come_down_faster_with]""""","(:lower_food_price_increases {id: e21222})"""""
"(:inflation {id: e108})""""","[:is_likely_to_be]""""","(:transitory {id: e19487})"""""
"(:inflation {id: e108})""""","[:Rise_in]""""","(:May {id: e2551})"""""
"(:inflation {id: e108})""""","[:affected_by_increased]""""","(:unit_profits {id: e9564})"""""
"(:inflation {id: e108})""""","[:expected_decline_after]""""","(:temporary_factors {id: e8918})"""""
"(:inflation {id: e108})""""","[:remained_in_negative_territory_in]""""","(:Japan {id: e1757})"""""
"(:inflation {id: e108})""""","[:expected_to_be_above]""""","(:ECB_target {id: e19819})"""""
"(:inflation {id: e108})""""","[:is_projected_to_decline_due_to]""""","(:tighter_financing_conditions {id: e5061})"""""
"(:inflation {id: e108})""""","[:decrease_expectation_time]""""","(:second_half_of_2023 {id: e12224})"""""
"(:inflation {id: e108})""""","[:due_to_impact_of]""""","(:war {id: e10185})"""""
"(:inflation {id: e108})""""","[:expected_to_stay]""""","(:economic_condition {id: e21245})"""""
"(:inflation {id: e108})""""","[:primary_risks]""""","(:Governing_Council {id: e150})"""""
"(:inflation {id: e108})""""","[:revised_up_due_to]""""","(:war {id: e10185})"""""
"(:inflation {id: e108})""""","[:risk_direction]""""","(:Governing_Council {id: e150})"""""
"(:inflation {id: e108})""""","[:related_to]""""","(:projection_horizon {id: e1676})"""""
"(:inflation {id: e108})""""","[:related_to]""""","(:travel_related_services {id: e2475})"""""
"(:inflation {id: e108})""""","[:contributed_by]""""","(:travel {id: e3074})"""""
