n,r,m
inflation,has target,2percent medium term target
inflation,has target,2percent target
inflation,reaches target ahead of,projection horizon
inflation,expected change over,medium term
inflation,behavioural expectation in,all scenarios
inflation,expected to be more significant in,emerging market economies
inflation,expected to be more significant in,EMEs
inflation,expected to be more significant in,emerging market economies EMEs
inflation,has changed in,recent months
inflation,area,euro area
inflation,deterioration of accuracy since,third quarter of 2021
inflation,has greater effect due to higher weight of,commodities
inflation,rate in April 2023,7 point 0percent
inflation,expected to rise further on,second half of the year
inflation,reduces real value of,real value of net assets
inflation,aligned with commitment to,ECBs price stability mandate
inflation,occur over,medium term
inflation,increase is,inflation
inflation,greater effect on,emerging market economies EMEs
inflation,continues in,OECD economies
inflation,impact expected to be more significant due to,commodities
inflation,moves towards,Governing Council
inflation,has not led to redistribution of,redistribution of nominal wealth
inflation,declining due to,tighter financing conditions
inflation,pronounced underestimation since,third quarter of 2021
inflation,underestimation began,first quarter of 2021
inflation,intended level,levels below but close to 2percent
inflation,works asymmetrically for,wealth distribution
inflation,expected to decline as,temporary factors
inflation,increased across,advanced economies
inflation,downward revision compared with,March 2020 ECB staff macroeconomic projections
inflation,raised questions about,income distribution
inflation,decline further towards,target
inflation,intended target,medium term target
inflation,reduced by,declining energy prices
inflation,reduced by,lower food price increases
inflation,decreasing,economic condition
inflation,expected trend during,second half of the year
inflation,come down faster with,declining energy prices
inflation,come down faster with,lower food price increases
inflation,is likely to be,transitory
inflation,Rise in,May
inflation,affected by increased,unit profits
inflation,expected decline after,temporary factors
inflation,remained in negative territory in,Japan
inflation,expected to be above,ECB target
inflation,is projected to decline due to,tighter financing conditions
inflation,decrease expectation time,second half of 2023
inflation,due to impact of,war
inflation,expected to stay,economic condition
inflation,primary risks,Governing Council
inflation,revised up due to,war
inflation,risk direction,Governing Council
inflation,related to,projection horizon
inflation,related to,travel related services
inflation,contributed by,travel
inflation,contributed by,energy price dynamics
inflation,contributed by,supply bottlenecks
inflation,contributed by,furniture
inflation,contributed by,restaurants
inflation,contributed by,utilities
inflation,caused by,domestic demand
inflation,caused by,energy
inflation,caused by,food prices
inflation,caused by,energy prices
inflation,caused by,supply bottlenecks
inflation,affects,market interest rates
inflation,affects,public finances
inflation,affects,primary budget balance
inflation,affects,interest paid
inflation,affected by,food prices
inflation,affected by,subsidies
inflation,affected by,energy prices
inflation,affected by,short term effects
inflation,affected by,governments energy subsidies
inflation,response to,COVID 19 shock
inflation,change due to,energy prices
inflation,change due to,base effects
inflation,change due to,transitory factors
inflation,decline due to,monetary policy
inflation,decline due to,energy costs
inflation,decline due to,supply disruptions
inflation,impact on,budget balance
inflation,increase due to,demand
inflation,increase due to,energy prices
inflation,increase due to,base effects
inflation,increase due to,oil price
inflation,increase due to,transitory factors
inflation,contribution to inflation by,energy sector
inflation,contribution to inflation by,hospitality sector
inflation,contribution to inflation by,furniture
inflation,contribution to inflation by,household equipment
ECB monetary policy measures,affected factor,demand factors
ECB monetary policy measures,affected factor,supply factors
ECB monetary policy measures,policy time start,early 2015
ECB monetary policy measures,policy time end,end of 2018
bn15,time,December 2019
bn15,value,1 point 3percent
bn15,compare,firms
bn15,compare,households
bn15,show loss of,government
bn15,supported recovery of,aggregate demand
bn15,PLACEHOLDER,firms
bn15,PLACEHOLDER,households
bn15,PLACEHOLDER,government
bn15,PLACEHOLDER,aggregate demand
bn16,new value,1 point 3percent
bn16,previous value,1 point 0percent
bn16,to time,December 2019
bn16,from time,November 2019
bn19,factor 2,economic expansion
bn19,factor 3,solid wage growth
bn19,factor 1,ECB monetary policy measures
broad money M3 growth,has growth rate,bn20
bn20,growth rate value,5 point 6percent
bn20,in month,November 2019
broad money growth contributor,is main contributor,narrow monetary aggregate M1
narrow monetary aggregate M1,includes,most liquid components
policy,is stance of,ECB accommodative monetary policy stance
policy,reflected in,bank lending rates
policy,helped,non construction investment recovery
annual growth rate loans households,has annual growth rate,bn21
bn21,growth rate value,3 point 5percent
bn21,in month,November 2019
3 point 5percent,in year,2023
3 point 5percent,decreased from,4 point 1percent
annual growth rate loans non financial corporations,moderated to,bn22
bn22,to value,3 point 4percent
bn22,from month,October
bn22,from value,3 point 8percent
3 point 8percent,occurred in,first quarter of 2020
3 point 8percent,by,2022
credit standards loans,applies to,loans to firms
credit standards loans,applies to,loans to households for house purchase
Governing Council accommodative monetary policy stance,helps to safeguard,safeguard favourable bank lending conditions
Governing Council accommodative monetary policy stance,supports,support access to financing
support access to financing,supports enterprise type,small and medium sized enterprises
support access to financing,supports sector,all economic sectors
Governing Council,expects interest rates,bn24
Governing Council,confirmed necessity of,monetary accommodation
Governing Council,confirmed necessity,ample degree of monetary accommodation
Governing Council,has expectation condition,inflation outlook
Governing Council,made decision,key ECB interest rates
Governing Council,requires for rate change,inflation outlook
ample degree of monetary accommodation,is for,inflation convergence
inflation convergence,has condition,bn23
bn23,is below,below 2 percent
bn23,is for timeframe,medium term
economic analysis,is for decisions on,monetary accommodation
economic analysis,combined with,monetary analysis
monetary analysis,used with,economic analysis
target inflation level,is below,below 2 percent
target inflation level,is for timeframe,medium term
target inflation level,defined by,Governing Council
key ECB interest rates,decision result,unchanged
bn24,interest rate level present,present levels
bn24,necessary for,ECB policy rates
bn24,interest rate level lower,lower levels
inflation outlook,convergence to level,convergence
inflation outlook,expected convergence,convergence
convergence,target level,level sufficiently close to but below 2percent
convergence,consistently reflected in,underlying inflation dynamics
convergence,within projection horizon,projection horizon
convergence,enhanced by,central fiscal capacity
Governing Council,has view on,inflation
Governing Council,responds to,current market tensions
Governing Council,take into account,cost of owner occupied housing
Governing Council,confirmed the,forward guidance
Governing Council,will continue reducing,asset purchases
Governing Council,calibrate,reserve remuneration
Governing Council,previous meeting,monetary policy meeting In December
Governing Council,prefers,net acquisition approach
Governing Council,in favour of,OOH
Governing Council,confirmed the level of,key ECB interest rates
Governing Council,needs to maintain,flexibility and optionality
Governing Council,confirmed to support,ECBs price stability mandate
Governing Council,views,risks
Governing Council,intends to continue,reinvesting
Governing Council,revised,asset purchase programme APP
Governing Council,expectation for,near term economic activity
Governing Council,prepared to adjust,inflation
Governing Council,committed to,strategic commitment
Governing Council,assess calibration,two tier system
Governing Council,confirmed its measures to support ,ECBs price stability mandate
Governing Council,anticipates,interest rates
Governing Council,discussed,asset purchase programme APP
Governing Council,made decision with unspecified time,corporate bond purchases
Governing Council,follows,data dependent approach
Governing Council,responsible for,increase
Governing Council,needs to adjust instruments,inflation
Governing Council,Decided to raise by,50 basis points
Governing Council,Trying to ensure timely return of inflation,2percent medium term target
Governing Council,aims to return inflation target over,medium term
Governing Council,judges over,coronavirus crisis phase
Governing Council,will consider aspect of,underlying inflation
Governing Council,expects for,the key ECB interest rates
Governing Council,stands ready to,adjust
Governing Council,provides support to,euro area financial system
Governing Council,decided to conduct,LTROs
Governing Council,will continue,flexibility
Governing Council,aims for inflation rate,2percent
Governing Council,ensures transmission of,ECBs monetary policy
Governing Council,decision time,March meeting
Governing Council,intends to reinvest,principal payments
Governing Council,will determine,policy rate decisions
Governing Council,intend to raise,50 basis points
Governing Council,next meeting month,March
Governing Council,will continue to follow,data dependent approach
Governing Council,maintain,accommodative monetary policy stance
Governing Council,decision not prejudiced to,ECBs price stability objective
Governing Council,stands ready to adjust instruments to stabilize inflation,2percent target
Governing Council,expects convergence,inflation outlook
Governing Council,ready to adjust,instruments
Governing Council,next meeting at,March 2023
Governing Council,expects to end,net asset purchases
Governing Council,Decided to raise,three key ECB interest rates
Governing Council,decided to ease conditions on,TLTRO III
Governing Council,intend to reinvest beyond starting to raise,key ECB interest rates
Governing Council,aim to ensure inflation towards,medium term inflation
Governing Council,committed to inflation aim,inflation
Governing Council,conclude net purchases in,third quarter
Governing Council,aims to counter,monetary policy transmission mechanism
Governing Council,decisions for,all sectors of the economy
Governing Council,decided to keep,key ECB interest rates
Governing Council,continue to provide,ample liquidity
Governing Council,will continue to monitor,developments in the exchange rate
Governing Council,Intends to raise by,50 basis points
Governing Council,Policy meeting scheduled for,next monetary policy meeting in March
Governing Council,aimed to preserve,favourable financing conditions
Governing Council,raised,deposit facility rate
Governing Council,consider revising,self imposed limits
Governing Council,decided to,extend
Governing Council,expects duration of,monthly net asset purchases
Governing Council,aims for inflation,inflation
Governing Council,took policy measures,early March
Governing Council,decided on removal of,0percent interest rate ceiling
Governing Council,decisions to safeguard,medium term price stability
Governing Council,plan to continue reinvesting for,extended period of time
Governing Council,monitor for,medium term inflation outlook
Governing Council,conducted purchases,pandemic emergency purchase programme PEPP
Governing Council,decision aligns with,Paris Agreement
Governing Council,revise schedule for,monthly net purchases
Governing Council,climate action plan supports,Eurosystem
Governing Council,assess decline pace,APP portfolio
Governing Council,continue to provide ample liquidity through,refinancing operations
Governing Council,committed to supporting,citizens of the euro area
Governing Council,intends to reinvest until,end of 2024
Governing Council,indicated need for,additional policy tightening
Governing Council,sees,risks
Governing Council,adjusts PEPP duration,PEPP
Governing Council,assessing contribution,monetary policy stance
Governing Council,following,monetary policy strategy
Governing Council,Expects to raise further,interest rates
Governing Council,monitoring,current market tensions
Governing Council,mentioned policy measures,policy measures
Governing Council,met on,2 February 2023
Governing Council,raise,interest rates
Governing Council,plans to continue applying,flexibility
Governing Council,intend to continue,reinvesting
Governing Council,set,initial multiplier
Governing Council,communicated in,December
Governing Council,looks for progress in,underlying inflation
Governing Council,decided stronger tilting,corporate bond purchases
Governing Council,reason for increase,timely return
Governing Council,decided modalities,detailed modalities
Governing Council,expects rate levels,present levels
Governing Council,not terminate before,end of the year
Governing Council,evaluate after raise,monetary policy
Governing Council,intends to continue reinvesting,an extended period of time
Governing Council,took decision on,11 March 2021
Governing Council,approach purpose,Eurosystem
Governing Council,decision date,September 2022
Governing Council,terminate,net asset purchases
Governing Council,mandated,Eurosystem committees
Governing Council,ensures future decisions,policy rates
Governing Council,will continue to reduce,APP portfolio
Governing Council,purpose of continued investment,ample degree of monetary accommodation
Governing Council,adjust to ensure,inflation
Governing Council,protect functionality of,monetary policy transmission mechanism
Governing Council,effort to achieve goal with help from,flexibility
Governing Council,commitment related to,symmetry
Governing Council,plan to reinvest,principal payments
Governing Council,aiming to influence,medium term inflation outlook
Governing Council,faces conditions,high uncertainty
Governing Council,will review,ACC frameworks
Governing Council,bases decisions on,assessment of the inflation outlook
Governing Council,held,ad hoc meeting
Governing Council,will ensure with,future decisions
Governing Council,applied discretion during,euro area sovereign debt crisis
Governing Council,continues reinvesting to maintain,favourable liquidity conditions
Governing Council,raised interest rates by,25 basis points
Governing Council,ensure smooth transmission of,monetary policy
Governing Council,welcome publication,legislative proposals
Governing Council,announced decision on,24 March 2022
Governing Council,conclude,coronavirus crisis phase
Governing Council,intends to continue reinvesting in full,maturing securities
Governing Council,aims for return to,medium term target
Governing Council,prepared to make adjustments to preserve,monetary policy transmission
Governing Council,has plans for programme regarding,reinvestments
Governing Council,announced decision to phase out,pandemic collateral easing measures
