n,r,m
inflation,has_target,2percent_medium_term_target
inflation,has_target,2percent_target
inflation,reaches_target_ahead_of,projection_horizon
inflation,expected_change_over,medium_term
inflation,behavioural_expectation_in,all_scenarios
inflation,expected_to_be_more_significant_in,emerging_market_economies
inflation,expected_to_be_more_significant_in,EMEs
inflation,expected_to_be_more_significant_in,emerging_market_economies_EMEs
inflation,has_changed_in,recent_months
inflation,area,euro_area
inflation,deterioration_of_accuracy_since,third_quarter_of_2021
inflation,has_greater_effect_due_to_higher_weight_of,commodities
inflation,rate_in_April_2023,7_point_0percent
inflation,expected_to_rise_further_on,second_half_of_the_year
inflation,reduces_real_value_of,real_value_of_net_assets
inflation,aligned_with_commitment_to,ECBs_price_stability_mandate
inflation,occur_over,medium_term
inflation,increase_is,inflation
inflation,greater_effect_on,emerging_market_economies_EMEs
inflation,continues_in,OECD_economies
inflation,impact_expected_to_be_more_significant_due_to,commodities
inflation,moves_towards,Governing_Council
inflation,has_not_led_to_redistribution_of,redistribution_of_nominal_wealth
inflation,declining_due_to,tighter_financing_conditions
inflation,pronounced_underestimation_since,third_quarter_of_2021
inflation,underestimation_began,first_quarter_of_2021
inflation,intended_level,levels_below_but_close_to_2percent
inflation,works_asymmetrically_for,wealth_distribution
inflation,expected_to_decline_as,temporary_factors
inflation,increased_across,advanced_economies
inflation,downward_revision_compared_with,March_2020_ECB_staff_macroeconomic_projections
inflation,raised_questions_about,income_distribution
inflation,decline_further_towards,target
inflation,intended_target,medium_term_target
inflation,reduced_by,declining_energy_prices
inflation,reduced_by,lower_food_price_increases
inflation,decreasing,economic_condition
inflation,expected_trend_during,second_half_of_the_year
inflation,come_down_faster_with,declining_energy_prices
inflation,come_down_faster_with,lower_food_price_increases
inflation,is_likely_to_be,transitory
inflation,Rise_in,May
inflation,affected_by_increased,unit_profits
inflation,expected_decline_after,temporary_factors
inflation,remained_in_negative_territory_in,Japan
inflation,expected_to_be_above,ECB_target
inflation,is_projected_to_decline_due_to,tighter_financing_conditions
inflation,decrease_expectation_time,second_half_of_2023
inflation,due_to_impact_of,war
inflation,expected_to_stay,economic_condition
inflation,primary_risks,Governing_Council
inflation,revised_up_due_to,war
inflation,risk_direction,Governing_Council
inflation,related_to,projection_horizon
inflation,related_to,travel_related_services
inflation,contributed_by,travel
inflation,contributed_by,energy_price_dynamics
inflation,contributed_by,supply_bottlenecks
inflation,contributed_by,furniture
inflation,contributed_by,restaurants
inflation,contributed_by,utilities
inflation,caused_by,domestic_demand
inflation,caused_by,energy
inflation,caused_by,food_prices
inflation,caused_by,energy_prices
inflation,caused_by,supply_bottlenecks
inflation,affects,market_interest_rates
inflation,affects,public_finances
inflation,affects,primary_budget_balance
inflation,affects,interest_paid
inflation,affected_by,food_prices
inflation,affected_by,subsidies
inflation,affected_by,energy_prices
inflation,affected_by,short_term_effects
inflation,affected_by,governments_energy_subsidies
inflation,response_to,COVID_19_shock
inflation,change_due_to,energy_prices
inflation,change_due_to,base_effects
inflation,change_due_to,transitory_factors
inflation,decline_due_to,monetary_policy
inflation,decline_due_to,energy_costs
inflation,decline_due_to,supply_disruptions
inflation,impact_on,budget_balance
inflation,increase_due_to,demand
inflation,increase_due_to,energy_prices
inflation,increase_due_to,base_effects
inflation,increase_due_to,oil_price
inflation,increase_due_to,transitory_factors
inflation,contribution_to_inflation_by,energy_sector
inflation,contribution_to_inflation_by,hospitality_sector
inflation,contribution_to_inflation_by,furniture
inflation,contribution_to_inflation_by,household_equipment
ECB_monetary_policy_measures,affected_factor,demand_factors
ECB_monetary_policy_measures,affected_factor,supply_factors
ECB_monetary_policy_measures,policy_time_start,early_2015
ECB_monetary_policy_measures,policy_time_end,end_of_2018
bn15,time,December_2019
bn15,value,1_point_3percent
bn15,compare,firms
bn15,compare,households
bn15,show_loss_of,government
bn15,supported_recovery_of,aggregate_demand
bn15,PLACEHOLDER,firms
bn15,PLACEHOLDER,households
bn15,PLACEHOLDER,government
bn15,PLACEHOLDER,aggregate_demand
bn16,new_value,1_point_3percent
bn16,previous_value,1_point_0percent
bn16,to_time,December_2019
bn16,from_time,November_2019
bn19,factor_2,economic_expansion
bn19,factor_3,solid_wage_growth
bn19,factor_1,ECB_monetary_policy_measures
broad_money_M3_growth,has_growth_rate,bn20
bn20,growth_rate_value,5_point_6percent
bn20,in_month,November_2019
broad_money_growth_contributor,is_main_contributor,narrow_monetary_aggregate_M1
narrow_monetary_aggregate_M1,includes,most_liquid_components
policy,is_stance_of,ECB_accommodative_monetary_policy_stance
policy,reflected_in,bank_lending_rates
policy,helped,non_construction_investment_recovery
annual_growth_rate_loans_households,has_annual_growth_rate,bn21
bn21,growth_rate_value,3_point_5percent
bn21,in_month,November_2019
3_point_5percent,in_year,2023
3_point_5percent,decreased_from,4_point_1percent
annual_growth_rate_loans_non_financial_corporations,moderated_to,bn22
bn22,to_value,3_point_4percent
bn22,from_month,October
bn22,from_value,3_point_8percent
3_point_8percent,occurred_in,first_quarter_of_2020
3_point_8percent,by,2022
credit_standards_loans,applies_to,loans_to_firms
credit_standards_loans,applies_to,loans_to_households_for_house_purchase
Governing_Council_accommodative_monetary_policy_stance,helps_to_safeguard,safeguard_favourable_bank_lending_conditions
Governing_Council_accommodative_monetary_policy_stance,supports,support_access_to_financing
support_access_to_financing,supports_enterprise_type,small_and_medium_sized_enterprises
support_access_to_financing,supports_sector,all_economic_sectors
Governing_Council,expects_interest_rates,bn24
Governing_Council,confirmed_necessity_of,monetary_accommodation
Governing_Council,confirmed_necessity,ample_degree_of_monetary_accommodation
Governing_Council,has_expectation_condition,inflation_outlook
Governing_Council,made_decision,key_ECB_interest_rates
Governing_Council,requires_for_rate_change,inflation_outlook
ample_degree_of_monetary_accommodation,is_for,inflation_convergence
inflation_convergence,has_condition,bn23
bn23,is_below,below_2_percent
bn23,is_for_timeframe,medium_term
economic_analysis,is_for_decisions_on,monetary_accommodation
economic_analysis,combined_with,monetary_analysis
monetary_analysis,used_with,economic_analysis
target_inflation_level,is_below,below_2_percent
target_inflation_level,is_for_timeframe,medium_term
target_inflation_level,defined_by,Governing_Council
key_ECB_interest_rates,decision_result,unchanged
bn24,interest_rate_level_present,present_levels
bn24,necessary_for,ECB_policy_rates
bn24,interest_rate_level_lower,lower_levels
inflation_outlook,convergence_to_level,convergence
inflation_outlook,expected_convergence,convergence
convergence,target_level,level_sufficiently_close_to_but_below_2percent
convergence,consistently_reflected_in,underlying_inflation_dynamics
convergence,within_projection_horizon,projection_horizon
convergence,enhanced_by,central_fiscal_capacity
Governing_Council,has_view_on,inflation
Governing_Council,responds_to,current_market_tensions
Governing_Council,take_into_account,cost_of_owner_occupied_housing
Governing_Council,confirmed_the,forward_guidance
Governing_Council,will_continue_reducing,asset_purchases
Governing_Council,calibrate,reserve_remuneration
Governing_Council,previous_meeting,monetary_policy_meeting_In_December
Governing_Council,prefers,net_acquisition_approach
Governing_Council,in_favour_of,OOH
Governing_Council,confirmed_the_level_of,key_ECB_interest_rates
Governing_Council,needs_to_maintain,flexibility_and_optionality
Governing_Council,confirmed_to_support,ECBs_price_stability_mandate
Governing_Council,views,risks
Governing_Council,intends_to_continue,reinvesting
Governing_Council,revised,asset_purchase_programme_APP
Governing_Council,expectation_for,near_term_economic_activity
Governing_Council,prepared_to_adjust,inflation
Governing_Council,committed_to,strategic_commitment
Governing_Council,assess_calibration,two_tier_system
Governing_Council,confirmed_its_measures_to_support_,ECBs_price_stability_mandate
Governing_Council,anticipates,interest_rates
Governing_Council,discussed,asset_purchase_programme_APP
Governing_Council,made_decision_with_unspecified_time,corporate_bond_purchases
Governing_Council,follows,data_dependent_approach
Governing_Council,responsible_for,increase
Governing_Council,needs_to_adjust_instruments,inflation
Governing_Council,Decided_to_raise_by,50_basis_points
Governing_Council,Trying_to_ensure_timely_return_of_inflation,2percent_medium_term_target
Governing_Council,aims_to_return_inflation_target_over,medium_term
Governing_Council,judges_over,coronavirus_crisis_phase
Governing_Council,will_consider_aspect_of,underlying_inflation
Governing_Council,expects_for,the_key_ECB_interest_rates
Governing_Council,stands_ready_to,adjust
Governing_Council,provides_support_to,euro_area_financial_system
Governing_Council,decided_to_conduct,LTROs
Governing_Council,will_continue,flexibility
Governing_Council,aims_for_inflation_rate,2percent
Governing_Council,ensures_transmission_of,ECBs_monetary_policy
Governing_Council,decision_time,March_meeting
Governing_Council,intends_to_reinvest,principal_payments
Governing_Council,will_determine,policy_rate_decisions
Governing_Council,intend_to_raise,50_basis_points
Governing_Council,next_meeting_month,March
Governing_Council,will_continue_to_follow,data_dependent_approach
Governing_Council,maintain,accommodative_monetary_policy_stance
Governing_Council,decision_not_prejudiced_to,ECBs_price_stability_objective
Governing_Council,stands_ready_to_adjust_instruments_to_stabilize_inflation,2percent_target
Governing_Council,expects_convergence,inflation_outlook
Governing_Council,ready_to_adjust,instruments
Governing_Council,next_meeting_at,March_2023
Governing_Council,expects_to_end,net_asset_purchases
Governing_Council,Decided_to_raise,three_key_ECB_interest_rates
Governing_Council,decided_to_ease_conditions_on,TLTRO_III
Governing_Council,intend_to_reinvest_beyond_starting_to_raise,key_ECB_interest_rates
Governing_Council,aim_to_ensure_inflation_towards,medium_term_inflation
Governing_Council,committed_to_inflation_aim,inflation
Governing_Council,conclude_net_purchases_in,third_quarter
Governing_Council,aims_to_counter,monetary_policy_transmission_mechanism
Governing_Council,decisions_for,all_sectors_of_the_economy
Governing_Council,decided_to_keep,key_ECB_interest_rates
Governing_Council,continue_to_provide,ample_liquidity
Governing_Council,will_continue_to_monitor,developments_in_the_exchange_rate
Governing_Council,Intends_to_raise_by,50_basis_points
Governing_Council,Policy_meeting_scheduled_for,next_monetary_policy_meeting_in_March
Governing_Council,aimed_to_preserve,favourable_financing_conditions
Governing_Council,raised,deposit_facility_rate
Governing_Council,consider_revising,self_imposed_limits
Governing_Council,decided_to,extend
Governing_Council,expects_duration_of,monthly_net_asset_purchases
Governing_Council,aims_for_inflation,inflation
Governing_Council,took_policy_measures,early_March
Governing_Council,decided_on_removal_of,0percent_interest_rate_ceiling
Governing_Council,decisions_to_safeguard,medium_term_price_stability
Governing_Council,plan_to_continue_reinvesting_for,extended_period_of_time
Governing_Council,monitor_for,medium_term_inflation_outlook
Governing_Council,conducted_purchases,pandemic_emergency_purchase_programme_PEPP
Governing_Council,decision_aligns_with,Paris_Agreement
Governing_Council,revise_schedule_for,monthly_net_purchases
Governing_Council,climate_action_plan_supports,Eurosystem
Governing_Council,assess_decline_pace,APP_portfolio
Governing_Council,continue_to_provide_ample_liquidity_through,refinancing_operations
Governing_Council,committed_to_supporting,citizens_of_the_euro_area
Governing_Council,intends_to_reinvest_until,end_of_2024
Governing_Council,indicated_need_for,additional_policy_tightening
Governing_Council,sees,risks
Governing_Council,adjusts_PEPP_duration,PEPP
Governing_Council,assessing_contribution,monetary_policy_stance
Governing_Council,following,monetary_policy_strategy
Governing_Council,Expects_to_raise_further,interest_rates
